id,tipo,fecha,hora,provincia,corregimiento,latitud,longitud,arma_utilizada,locacion,anio,mes,dia_semana,zona,crimen
CR-2024-000013,Homicidio,2024-01-02,20,Panamá,Belisario Porras,9.052472,-79.502059,Arma blanca,Vía Pública,2024,1,1,Belisario Porras,Homicidio
CR-2024-000016,Robo,2024-01-02,20,Panamá,Bella Vista,8.979651,-79.529295,Arma blanca,Vía Pública,2024,1,1,Bella Vista,Robo
CR-2024-000031,Robo,2024-01-02,20,Panamá Oeste,Vacamonte,8.914781,-79.715913,Arma blanca,Vía Pública,2024,1,1,Vacamonte,Robo
CR-2024-000033,Robo,2024-01-02,20,Panamá Oeste,Vista Alegre,8.948207,-79.698025,Arma blanca,Vía Pública,2024,1,1,Vista Alegre,Robo
CR-2024-000021,Robo,2024-01-02,21,Panamá Oeste,Guadalupe,8.865879,-79.811207,Arma blanca,Comercio,2024,1,1,Guadalupe,Robo
CR-2024-000029,Robo,2024-01-02,21,Panamá,Tocumen,9.081864,-79.386617,Arma de fuego,Transporte Público,2024,1,1,Tocumen,Robo
CR-2024-000011,Homicidio,2024-01-02,22,Panamá,24 de Diciembre,9.09816,-79.352325,Otro método,Vía Pública,2024,1,1,24 de Diciembre,Homicidio
CR-2024-000028,Robo,2024-01-02,22,Panamá,Tocumen,9.081024,-79.392352,Sin arma (intimidación),Comercio,2024,1,1,Tocumen,Robo
CR-2024-000015,Robo,2024-01-02,23,Panamá,Belisario Porras,9.050785,-79.501224,Arma blanca,Centro Comercial,2024,1,1,Belisario Porras,Robo
CR-2024-000020,Robo,2024-01-02,23,Panamá,Curundú,8.971323,-79.551013,Arma de fuego,Vía Pública,2024,1,1,Curundú,Robo
CR-2024-000042,Robo,2024-01-03,0,Panamá Oeste,El Coco,8.884305,-79.808224,Arma de fuego,Vía Pública,2024,1,2,El Coco,Robo
CR-2024-000039,Robo,2024-01-03,2,Panamá Oeste,Burunga,8.941001,-79.728866,Sin arma (intimidación),Vía Pública,2024,1,2,Burunga,Robo
CR-2024-000041,Robo,2024-01-03,4,Panamá,Curundú,8.969635,-79.549488,Arma blanca,Centro Comercial,2024,1,2,Curundú,Robo
CR-2024-000038,Robo,2024-01-03,15,Panamá,Belisario Porras,9.053324,-79.495081,Arma blanca,Centro Comercial,2024,1,2,Belisario Porras,Robo
CR-2024-000037,Robo,2024-01-03,16,Panamá,Belisario Porras,9.052284,-79.493889,Arma blanca,Estacionamiento,2024,1,2,Belisario Porras,Robo
CR-2024-000047,Robo,2024-01-03,16,Panamá,Tocumen,9.081037,-79.393515,Sin arma (intimidación),Vía Pública,2024,1,2,Tocumen,Robo
CR-2024-000040,Robo,2024-01-03,17,Panamá,Curundú,8.971489,-79.549962,Arma blanca,Comercio,2024,1,2,Curundú,Robo
CR-2024-000034,Homicidio,2024-01-03,18,Panamá,24 de Diciembre,9.103048,-79.348174,Arma blanca,Vía Pública,2024,1,2,24 de Diciembre,Homicidio
CR-2024-000036,Robo,2024-01-03,18,Panamá,Amelia Denis de Icaza,9.03355,-79.515879,Sin arma (intimidación),Centro Comercial,2024,1,2,Amelia Denis de Icaza,Robo
CR-2024-000044,Robo,2024-01-03,19,Panamá,Pedregal,9.064867,-79.477594,Arma de fuego,Centro Comercial,2024,1,2,Pedregal,Robo
CR-2024-000045,Robo,2024-01-03,21,Panamá,Rufina Alfaro,9.047,-79.488376,Arma blanca,Comercio,2024,1,2,Rufina Alfaro,Robo
CR-2024-000046,Robo,2024-01-03,21,Panamá Oeste,San Carlos,8.471126,-79.963987,Sin arma (intimidación),Vía Pública,2024,1,2,San Carlos,Robo
CR-2024-000043,Robo,2024-01-03,22,Panamá,Pedregal,9.063988,-79.476545,Arma de fuego,Comercio,2024,1,2,Pedregal,Robo
CR-2024-000035,Homicidio,2024-01-03,23,Panamá Oeste,El Coco,8.883122,-79.80242,Arma de fuego,Residencia,2024,1,2,El Coco,Homicidio
CR-2024-000055,Robo,2024-01-04,4,Panamá,Pacora,9.08319,-79.286141,Arma de fuego,Centro Comercial,2024,1,3,Pacora,Robo
CR-2024-000064,Robo,2024-01-04,4,Panamá Oeste,Vista Alegre,8.948356,-79.706658,Arma blanca,Comercio,2024,1,3,Vista Alegre,Robo
CR-2024-000050,Homicidio,2024-01-04,11,Panamá,Pacora,9.079522,-79.284338,Arma de fuego,Vía Pública,2024,1,3,Pacora,Homicidio
CR-2024-000063,Robo,2024-01-04,12,Panamá Oeste,Vista Alegre,8.948803,-79.701704,Arma blanca,Vía Pública,2024,1,3,Vista Alegre,Robo
CR-2024-000051,Robo,2024-01-04,16,Panamá,Amelia Denis de Icaza,9.034493,-79.514291,Arma de fuego,Comercio,2024,1,3,Amelia Denis de Icaza,Robo
CR-2024-000057,Robo,2024-01-04,16,Panamá,Pedregal,9.068662,-79.480567,Sin arma (intimidación),Estacionamiento,2024,1,3,Pedregal,Robo
CR-2024-000059,Robo,2024-01-04,16,Panamá,Pueblo Nuevo,9.000356,-79.522609,Arma blanca,Comercio,2024,1,3,Pueblo Nuevo,Robo
CR-2024-000062,Robo,2024-01-04,16,Panamá Oeste,Vacamonte,8.912227,-79.711009,Arma blanca,Comercio,2024,1,3,Vacamonte,Robo
CR-2024-000053,Robo,2024-01-04,17,Panamá,Bella Vista,8.979976,-79.528569,Arma blanca,Estacionamiento,2024,1,3,Bella Vista,Robo
CR-2024-000049,Homicidio,2024-01-04,18,Panamá Oeste,Barrio Colón,8.878126,-79.778754,Arma de fuego,Estacionamiento,2024,1,3,Barrio Colón,Homicidio
CR-2024-000056,Robo,2024-01-04,18,Panamá,Pacora,9.066726,-79.284755,Sin arma (intimidación),Vía Pública,2024,1,3,Pacora,Robo
CR-2024-000052,Robo,2024-01-04,19,Panamá Oeste,Barrio Colón,8.878025,-79.779946,Arma de fuego,Estacionamiento,2024,1,3,Barrio Colón,Robo
CR-2024-000048,Homicidio,2024-01-04,22,Panamá,24 de Diciembre,9.100311,-79.350669,Arma de fuego,Estacionamiento,2024,1,3,24 de Diciembre,Homicidio
CR-2024-000058,Robo,2024-01-04,22,Panamá,Pedregal,9.071842,-79.479553,Sin arma (intimidación),Transporte Público,2024,1,3,Pedregal,Robo
CR-2024-000060,Robo,2024-01-04,22,Panamá,Pueblo Nuevo,8.996842,-79.520835,Arma blanca,Centro Comercial,2024,1,3,Pueblo Nuevo,Robo
CR-2024-000054,Robo,2024-01-04,23,Panamá,El Chorrillo,8.94857,-79.540592,Sin arma (intimidación),Centro Comercial,2024,1,3,El Chorrillo,Robo
CR-2024-000061,Robo,2024-01-04,23,Panamá,Río Abajo,9.017958,-79.501686,Arma blanca,Vía Pública,2024,1,3,Río Abajo,Robo
CR-2024-000068,Robo,2024-01-05,1,Panamá,Calidonia,8.963388,-79.537252,Arma de fuego,Vía Pública,2024,1,4,Calidonia,Robo
CR-2024-000075,Robo,2024-01-05,2,Panamá Oeste,Vista Alegre,8.950676,-79.698779,Sin arma (intimidación),Comercio,2024,1,4,Vista Alegre,Robo
CR-2024-000074,Robo,2024-01-05,6,Panamá,Rufina Alfaro,9.045001,-79.48417,Sin arma (intimidación),Transporte Público,2024,1,4,Rufina Alfaro,Robo
CR-2024-000073,Robo,2024-01-05,12,Panamá Oeste,Puerto Caimito,8.871127,-79.719553,Sin arma (intimidación),Transporte Público,2024,1,4,Puerto Caimito,Robo
CR-2024-000072,Robo,2024-01-05,14,Panamá,Pedregal,9.063348,-79.483461,Sin arma (intimidación),Comercio,2024,1,4,Pedregal,Robo
CR-2024-000069,Robo,2024-01-05,15,Panamá,Juan Díaz,9.047977,-79.453038,Sin arma (intimidación),Vía Pública,2024,1,4,Juan Díaz,Robo
CR-2024-000065,Robo,2024-01-05,16,Panamá,Alcalde Díaz,9.119769,-79.550804,Arma blanca,Vía Pública,2024,1,4,Alcalde Díaz,Robo
CR-2024-000067,Robo,2024-01-05,16,Panamá,Caimitillo,9.160452,-79.550802,Arma de fuego,Vía Pública,2024,1,4,Caimitillo,Robo
CR-2024-000071,Robo,2024-01-05,16,Panamá,Pacora,9.080866,-79.30404,Arma blanca,Vía Pública,2024,1,4,Pacora,Robo
CR-2024-000076,Robo,2024-01-05,18,Panamá Oeste,Vista Alegre,8.9534,-79.699776,Arma blanca,Estacionamiento,2024,1,4,Vista Alegre,Robo
CR-2024-000070,Robo,2024-01-05,22,Panamá,Las Mañanitas,9.091209,-79.436004,Arma blanca,Vía Pública,2024,1,4,Las Mañanitas,Robo
CR-2024-000066,Robo,2024-01-05,23,Panamá Oeste,Barrio Colón,8.872886,-79.784388,Arma blanca,Transporte Público,2024,1,4,Barrio Colón,Robo
CR-2024-000086,Robo,2024-01-06,2,Panamá,Tocumen,9.081258,-79.39223,Arma de fuego,Comercio,2024,1,5,Tocumen,Robo
CR-2024-000079,Robo,2024-01-06,3,Panamá Oeste,Barrio Colón,8.8808,-79.782828,Sin arma (intimidación),Vía Pública,2024,1,5,Barrio Colón,Robo
CR-2024-000087,Robo,2024-01-06,7,Panamá,Tocumen,9.081451,-79.390266,Arma blanca,Transporte Público,2024,1,5,Tocumen,Robo
CR-2024-000089,Robo,2024-01-06,7,Panamá Oeste,Villa Carmen,8.800884,-79.899623,Sin arma (intimidación),Vía Pública,2024,1,5,Villa Carmen,Robo
CR-2024-000081,Robo,2024-01-06,9,Panamá,Las Mañanitas,9.089916,-79.426718,Arma blanca,Vía Pública,2024,1,5,Las Mañanitas,Robo
CR-2024-000078,Robo,2024-01-06,10,Panamá Oeste,Barrio Colón,8.880552,-79.786994,Arma de fuego,Comercio,2024,1,5,Barrio Colón,Robo
CR-2024-000077,Homicidio,2024-01-06,11,Panamá,Pacora,9.079849,-79.30135,Arma de fuego,Vía Pública,2024,1,5,Pacora,Homicidio
CR-2024-000083,Robo,2024-01-06,13,Panamá,Pacora,9.087207,-79.281337,Arma de fuego,Vía Pública,2024,1,5,Pacora,Robo
CR-2024-000084,Robo,2024-01-06,14,Panamá,Pueblo Nuevo,8.999809,-79.521682,Arma de fuego,Centro Comercial,2024,1,5,Pueblo Nuevo,Robo
CR-2024-000080,Robo,2024-01-06,18,Panamá Oeste,Barrio Colón,8.876642,-79.783139,Sin arma (intimidación),Estacionamiento,2024,1,5,Barrio Colón,Robo
CR-2024-000082,Robo,2024-01-06,18,Panamá,Pacora,9.080945,-79.292706,Arma blanca,Vía Pública,2024,1,5,Pacora,Robo
CR-2024-000085,Robo,2024-01-06,21,Panamá,Rufina Alfaro,9.046621,-79.484351,Arma blanca,Comercio,2024,1,5,Rufina Alfaro,Robo
CR-2024-000088,Robo,2024-01-06,21,Panamá,Victoriano Lorenzo,9.038527,-79.496962,Arma de fuego,Comercio,2024,1,5,Victoriano Lorenzo,Robo
CR-2024-000105,Robo,2024-01-07,1,Panamá,Río Abajo,9.020605,-79.496862,Arma de fuego,Centro Comercial,2024,1,6,Río Abajo,Robo
CR-2024-000109,Robo,2024-01-07,3,Panamá,Tocumen,9.080974,-79.387855,Arma de fuego,Vía Pública,2024,1,6,Tocumen,Robo
CR-2024-000111,Robo,2024-01-07,4,Panamá Oeste,Vacamonte,8.918521,-79.717031,Arma blanca,Estacionamiento,2024,1,6,Vacamonte,Robo
CR-2024-000091,Homicidio,2024-01-07,5,Panamá Oeste,Vacamonte,8.913947,-79.707857,Arma de fuego,Vía Pública,2024,1,6,Vacamonte,Homicidio
CR-2024-000093,Robo,2024-01-07,6,Panamá Oeste,Capira Cabecera,8.751254,-79.881323,Arma blanca,Centro Comercial,2024,1,6,Capira Cabecera,Robo
CR-2024-000104,Robo,2024-01-07,7,Panamá,Rufina Alfaro,9.046627,-79.489984,Arma blanca,Centro Comercial,2024,1,6,Rufina Alfaro,Robo
CR-2024-000097,Robo,2024-01-07,8,Panamá,Pacora,9.081583,-79.30355,Sin arma (intimidación),Centro Comercial,2024,1,6,Pacora,Robo
CR-2024-000090,Homicidio,2024-01-07,10,Panamá,Pedregal,9.061466,-79.476833,Arma de fuego,Residencia,2024,1,6,Pedregal,Homicidio
CR-2024-000095,Robo,2024-01-07,10,Panamá,José Domingo Espinar,9.046408,-79.504283,Arma de fuego,Comercio,2024,1,6,José Domingo Espinar,Robo
CR-2024-000102,Robo,2024-01-07,11,Panamá,Pacora,9.078752,-79.285991,Arma de fuego,Comercio,2024,1,6,Pacora,Robo
CR-2024-000107,Robo,2024-01-07,12,Panamá,Tocumen,9.079557,-79.389441,Arma blanca,Vía Pública,2024,1,6,Tocumen,Robo
CR-2024-000103,Robo,2024-01-07,14,Panamá,Pedregal,9.061464,-79.476365,Arma blanca,Comercio,2024,1,6,Pedregal,Robo
CR-2024-000110,Robo,2024-01-07,15,Panamá Oeste,Vacamonte,8.915067,-79.709895,Sin arma (intimidación),Vía Pública,2024,1,6,Vacamonte,Robo
CR-2024-000101,Robo,2024-01-07,17,Panamá,Pacora,9.066384,-79.285729,Arma blanca,Centro Comercial,2024,1,6,Pacora,Robo
CR-2024-000099,Robo,2024-01-07,19,Panamá,Pacora,9.06917,-79.2813,Sin arma (intimidación),Vía Pública,2024,1,6,Pacora,Robo
CR-2024-000100,Robo,2024-01-07,19,Panamá,Pacora,9.078637,-79.29157,Sin arma (intimidación),Vía Pública,2024,1,6,Pacora,Robo
CR-2024-000092,Robo,2024-01-07,20,Panamá,Belisario Porras,9.047427,-79.506366,Arma de fuego,Comercio,2024,1,6,Belisario Porras,Robo
CR-2024-000096,Robo,2024-01-07,20,Panamá,Juan Díaz,9.047051,-79.450271,Sin arma (intimidación),Vía Pública,2024,1,6,Juan Díaz,Robo
CR-2024-000094,Robo,2024-01-07,21,Panamá Oeste,Herrera,8.89996,-79.816874,Arma blanca,Vía Pública,2024,1,6,Herrera,Robo
CR-2024-000106,Robo,2024-01-07,21,Panamá,Tocumen,9.087611,-79.379625,Arma blanca,Vía Pública,2024,1,6,Tocumen,Robo
CR-2024-000098,Robo,2024-01-07,22,Panamá,Pacora,9.081158,-79.293417,Arma blanca,Comercio,2024,1,6,Pacora,Robo
CR-2024-000108,Robo,2024-01-07,22,Panamá,Tocumen,9.081702,-79.393256,Arma de fuego,Vía Pública,2024,1,6,Tocumen,Robo
CR-2024-000113,Homicidio,2024-01-08,1,Panamá,Juan Díaz,9.046535,-79.45084,Arma de fuego,Vía Pública,2024,1,0,Juan Díaz,Homicidio
CR-2024-000125,Robo,2024-01-08,5,Panamá Oeste,Vista Alegre,8.951573,-79.699824,Arma blanca,Centro Comercial,2024,1,0,Vista Alegre,Robo
CR-2024-000122,Robo,2024-01-08,6,Panamá,Tocumen,9.081811,-79.379884,Sin arma (intimidación),Vía Pública,2024,1,0,Tocumen,Robo
CR-2024-000114,Robo,2024-01-08,11,Panamá,Belisario Porras,9.050044,-79.497327,Arma blanca,Comercio,2024,1,0,Belisario Porras,Robo
CR-2024-000115,Robo,2024-01-08,11,Panamá,Belisario Porras,9.056054,-79.50463,Arma de fuego,Vía Pública,2024,1,0,Belisario Porras,Robo
CR-2024-000118,Robo,2024-01-08,13,Panamá,Pedregal,9.066903,-79.475309,Sin arma (intimidación),Vía Pública,2024,1,0,Pedregal,Robo
CR-2024-000119,Robo,2024-01-08,19,Panamá,Pedregal,9.066104,-79.47626,Arma blanca,Comercio,2024,1,0,Pedregal,Robo
CR-2024-000120,Robo,2024-01-08,19,Panamá Oeste,Playa Leona,8.84315,-79.784588,Arma de fuego,Vía Pública,2024,1,0,Playa Leona,Robo
CR-2024-000121,Robo,2024-01-08,19,Panamá,Río Abajo,9.019047,-79.49773,Sin arma (intimidación),Vía Pública,2024,1,0,Río Abajo,Robo
CR-2024-000117,Robo,2024-01-08,20,Panamá,Pacora,9.085218,-79.301394,Arma blanca,Comercio,2024,1,0,Pacora,Robo
CR-2024-000124,Robo,2024-01-08,20,Panamá Oeste,Vacamonte,8.915663,-79.71168,Arma de fuego,Comercio,2024,1,0,Vacamonte,Robo
CR-2024-000112,Homicidio,2024-01-08,21,Panamá Oeste,Barrio Colón,8.880603,-79.78662,Arma de fuego,Vía Pública,2024,1,0,Barrio Colón,Homicidio
CR-2024-000116,Robo,2024-01-08,22,Panamá,Las Mañanitas,9.086176,-79.426498,Arma blanca,Centro Comercial,2024,1,0,Las Mañanitas,Robo
CR-2024-000123,Robo,2024-01-08,22,Panamá,Tocumen,9.082235,-79.389958,Arma blanca,Vía Pública,2024,1,0,Tocumen,Robo
CR-2024-000136,Robo,2024-01-09,2,Panamá,Pueblo Nuevo,8.997546,-79.520152,Arma de fuego,Transporte Público,2024,1,1,Pueblo Nuevo,Robo
CR-2024-000139,Robo,2024-01-09,9,Panamá Oeste,Vacamonte,8.916568,-79.707432,Arma de fuego,Vía Pública,2024,1,1,Vacamonte,Robo
CR-2024-000140,Robo,2024-01-09,10,Panamá,Victoriano Lorenzo,9.039451,-79.496379,Sin arma (intimidación),Vía Pública,2024,1,1,Victoriano Lorenzo,Robo
CR-2024-000126,Homicidio,2024-01-09,12,Panamá,Pueblo Nuevo,9.000317,-79.522637,Arma blanca,Bar / Discoteca,2024,1,1,Pueblo Nuevo,Homicidio
CR-2024-000132,Robo,2024-01-09,14,Panamá Oeste,El Coco,8.886668,-79.80203,Sin arma (intimidación),Vía Pública,2024,1,1,El Coco,Robo
CR-2024-000131,Robo,2024-01-09,15,Panamá,El Chorrillo,8.951928,-79.541267,Arma blanca,Transporte Público,2024,1,1,El Chorrillo,Robo
CR-2024-000137,Robo,2024-01-09,16,Panamá Oeste,Puerto Caimito,8.867206,-79.71479,Arma de fuego,Vía Pública,2024,1,1,Puerto Caimito,Robo
CR-2024-000130,Robo,2024-01-09,17,Panamá,Caimitillo,9.156504,-79.56037,Arma de fuego,Vía Pública,2024,1,1,Caimitillo,Robo
CR-2024-000141,Robo,2024-01-09,17,Panamá Oeste,Vista Alegre,8.94895,-79.697459,Arma blanca,Transporte Público,2024,1,1,Vista Alegre,Robo
CR-2024-000138,Robo,2024-01-09,18,Panamá,Tocumen,9.086208,-79.386918,Arma de fuego,Comercio,2024,1,1,Tocumen,Robo
CR-2024-000135,Robo,2024-01-09,19,Panamá,Parque Lefevre,9.011509,-79.483302,Arma de fuego,Vía Pública,2024,1,1,Parque Lefevre,Robo
CR-2024-000128,Robo,2024-01-09,21,Panamá Oeste,Barrio Colón,8.876599,-79.78773,Sin arma (intimidación),Vía Pública,2024,1,1,Barrio Colón,Robo
CR-2024-000134,Robo,2024-01-09,22,Panamá,Pacora,9.079181,-79.291292,Arma de fuego,Comercio,2024,1,1,Pacora,Robo
CR-2024-000127,Robo,2024-01-09,23,Panamá,24 de Diciembre,9.09826,-79.352391,Arma de fuego,Vía Pública,2024,1,1,24 de Diciembre,Robo
CR-2024-000129,Robo,2024-01-09,23,Panamá,Belisario Porras,9.051728,-79.500505,Sin arma (intimidación),Vía Pública,2024,1,1,Belisario Porras,Robo
CR-2024-000133,Robo,2024-01-09,23,Panamá Oeste,El Espino,8.499472,-79.902101,Arma de fuego,Vía Pública,2024,1,1,El Espino,Robo
CR-2024-000142,Robo,2024-01-09,23,Panamá Oeste,Vista Alegre,8.948692,-79.703293,Arma de fuego,Comercio,2024,1,1,Vista Alegre,Robo
CR-2024-000147,Robo,2024-01-10,4,Panamá,Belisario Porras,9.051624,-79.501726,Sin arma (intimidación),Vía Pública,2024,1,2,Belisario Porras,Robo
CR-2024-000149,Robo,2024-01-10,7,Panamá Oeste,Capira Cabecera,8.754609,-79.878366,Arma de fuego,Centro Comercial,2024,1,2,Capira Cabecera,Robo
CR-2024-000155,Robo,2024-01-10,7,Panamá,Pedregal,9.065033,-79.476206,Arma de fuego,Vía Pública,2024,1,2,Pedregal,Robo
CR-2024-000148,Robo,2024-01-10,9,Panamá,Belisario Porras,9.054275,-79.503185,Arma blanca,Vía Pública,2024,1,2,Belisario Porras,Robo
CR-2024-000156,Robo,2024-01-10,9,Panamá,Rufina Alfaro,9.047426,-79.486242,Arma blanca,Comercio,2024,1,2,Rufina Alfaro,Robo
CR-2024-000143,Homicidio,2024-01-10,10,Panamá,Las Mañanitas,9.089113,-79.425357,Arma blanca,Residencia,2024,1,2,Las Mañanitas,Homicidio
CR-2024-000145,Robo,2024-01-10,10,Panamá Oeste,Barrio Balboa,8.875418,-79.784667,Arma de fuego,Comercio,2024,1,2,Barrio Balboa,Robo
CR-2024-000159,Robo,2024-01-10,10,Panamá Oeste,Vacamonte,8.910104,-79.710897,Arma blanca,Vía Pública,2024,1,2,Vacamonte,Robo
CR-2024-000144,Robo,2024-01-10,11,Panamá,Amelia Denis de Icaza,9.035274,-79.515129,Arma blanca,Vía Pública,2024,1,2,Amelia Denis de Icaza,Robo
CR-2024-000157,Robo,2024-01-10,13,Panamá,Tocumen,9.08153,-79.390034,Arma de fuego,Comercio,2024,1,2,Tocumen,Robo
CR-2024-000158,Robo,2024-01-10,13,Panamá Oeste,Vacamonte,8.916945,-79.706862,Sin arma (intimidación),Estacionamiento,2024,1,2,Vacamonte,Robo
CR-2024-000160,Robo,2024-01-10,14,Panamá Oeste,Vacamonte,8.912965,-79.708474,Arma de fuego,Comercio,2024,1,2,Vacamonte,Robo
CR-2024-000152,Robo,2024-01-10,15,Panamá,Juan Díaz,9.050408,-79.453529,Sin arma (intimidación),Comercio,2024,1,2,Juan Díaz,Robo
CR-2024-000154,Robo,2024-01-10,17,Panamá,Pacora,9.066303,-79.28473,Arma blanca,Vía Pública,2024,1,2,Pacora,Robo
CR-2024-000146,Robo,2024-01-10,19,Panamá Oeste,Barrio Colón,8.878322,-79.779992,Arma blanca,Transporte Público,2024,1,2,Barrio Colón,Robo
CR-2024-000151,Robo,2024-01-10,20,Panamá Oeste,El Espino,8.499646,-79.897542,Arma de fuego,Comercio,2024,1,2,El Espino,Robo
CR-2024-000161,Robo,2024-01-10,20,Panamá Oeste,Vista Alegre,8.950914,-79.699935,Arma de fuego,Centro Comercial,2024,1,2,Vista Alegre,Robo
CR-2024-000150,Robo,2024-01-10,22,Panamá,El Chorrillo,8.952713,-79.543321,Arma de fuego,Vía Pública,2024,1,2,El Chorrillo,Robo
CR-2024-000153,Robo,2024-01-10,22,Panamá,Las Mañanitas,9.085588,-79.430806,Arma de fuego,Estacionamiento,2024,1,2,Las Mañanitas,Robo
CR-2024-000162,Homicidio,2024-01-11,0,Panamá,Betania,8.999156,-79.528972,Arma de fuego,Vía Pública,2024,1,3,Betania,Homicidio
CR-2024-000167,Robo,2024-01-11,7,Panamá,Caimitillo,9.159319,-79.559809,Sin arma (intimidación),Comercio,2024,1,3,Caimitillo,Robo
CR-2024-000170,Robo,2024-01-11,13,Panamá,Pacora,9.081432,-79.293465,Arma de fuego,Vía Pública,2024,1,3,Pacora,Robo
CR-2024-000173,Robo,2024-01-11,13,Panamá,Pedregal,9.062732,-79.474073,Arma de fuego,Vía Pública,2024,1,3,Pedregal,Robo
CR-2024-000164,Robo,2024-01-11,14,Panamá Oeste,Barrio Colón,8.878967,-79.78472,Sin arma (intimidación),Transporte Público,2024,1,3,Barrio Colón,Robo
CR-2024-000171,Robo,2024-01-11,14,Panamá,Pedregal,9.062627,-79.476839,Arma de fuego,Comercio,2024,1,3,Pedregal,Robo
CR-2024-000172,Robo,2024-01-11,15,Panamá,Pedregal,9.063565,-79.475191,Arma blanca,Comercio,2024,1,3,Pedregal,Robo
CR-2024-000175,Robo,2024-01-11,15,Panamá Oeste,Vacamonte,8.914582,-79.703566,Arma de fuego,Centro Comercial,2024,1,3,Vacamonte,Robo
CR-2024-000174,Robo,2024-01-11,18,Panamá,Pedregal,9.063985,-79.484473,Arma de fuego,Comercio,2024,1,3,Pedregal,Robo
CR-2024-000165,Robo,2024-01-11,19,Panamá,Belisario Porras,9.050541,-79.501218,Sin arma (intimidación),Estacionamiento,2024,1,3,Belisario Porras,Robo
CR-2024-000168,Robo,2024-01-11,19,Panamá Oeste,Capira Cabecera,8.751346,-79.880738,Sin arma (intimidación),Comercio,2024,1,3,Capira Cabecera,Robo
